Query,Time-In-MilliSeconds
select `id` from `route_names` where (`name` = 'party.update') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'password.confirm'), 0.22
select `id` from `route_names` where (`name` = 'password.confirm') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'password.email'), 0.21
select `id` from `route_names` where (`name` = 'password.email') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'password.email'), 0.22
select `id` from `route_names` where (`name` = 'password.email') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'password.request'), 0.23
select `id` from `route_names` where (`name` = 'password.request') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'password.request'), 0.24
select `id` from `route_names` where (`name` = 'password.request') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'password.reset'), 0.24
select `id` from `route_names` where (`name` = 'password.reset') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'password.update'), 0.24
select `id` from `route_names` where (`name` = 'password.update') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'permissions.ajax_delete'), 0.25
select `id` from `route_names` where (`name` = 'permissions.ajax_delete') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'permissions.ajax_get_permissions'), 0.29
select `id` from `route_names` where (`name` = 'permissions.ajax_get_permissions') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'permissions.ajax_request_access'), 0.23
select `id` from `route_names` where (`name` = 'permissions.ajax_request_access') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'permissions.assign'), 0.24
select `id` from `route_names` where (`name` = 'permissions.assign') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'permissions.assign_to_many'), 1.16
select `id` from `route_names` where (`name` = 'permissions.assign_to_many') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'permissions.index'), 0.23
select `id` from `route_names` where (`name` = 'permissions.index') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'product.activate'), 0.22
select `id` from `route_names` where (`name` = 'product.activate') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'product.ajax_get'), 0.23
select `id` from `route_names` where (`name` = 'product.ajax_get') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'product.create'), 0.21
select `id` from `route_names` where (`name` = 'product.create') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'product.csv'), 0.22
select `id` from `route_names` where (`name` = 'product.csv') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'product.de_activate'), 0.23
select `id` from `route_names` where (`name` = 'product.de_activate') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'product.destroy'), 0.22
select `id` from `route_names` where (`name` = 'product.destroy') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'product.edit'), 0.23
select `id` from `route_names` where (`name` = 'product.edit') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'product.index'), 0.25
select `id` from `route_names` where (`name` = 'product.index') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'product.show'), 0.22
select `id` from `route_names` where (`name` = 'product.show') limit 1, 0.26
select count(*) as aggregate from `route_names` where (`name` = 'product.store'), 0.24
select `id` from `route_names` where (`name` = 'product.store') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'product.update'), 0.23
select `id` from `route_names` where (`name` = 'product.update') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'public.'), 0.23
select `id` from `route_names` where (`name` = 'public.') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'public.'), 0.22
select `id` from `route_names` where (`name` = 'public.') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.ajax_get_items'), 0.23
select `id` from `route_names` where (`name` = 'purchase-bill.ajax_get_items') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.create'), 0.22
select `id` from `route_names` where (`name` = 'purchase-bill.create') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.csv'), 0.24
select `id` from `route_names` where (`name` = 'purchase-bill.csv') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.destroy'), 0.23
select `id` from `route_names` where (`name` = 'purchase-bill.destroy') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.edit'), 0.26
select `id` from `route_names` where (`name` = 'purchase-bill.edit') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.index'), 0.22
select `id` from `route_names` where (`name` = 'purchase-bill.index') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.pdf'), 0.24
select `id` from `route_names` where (`name` = 'purchase-bill.pdf') limit 1, 0.27
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.show'), 0.25
select `id` from `route_names` where (`name` = 'purchase-bill.show') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.store'), 0.26
select `id` from `route_names` where (`name` = 'purchase-bill.store') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.update'), 0.24
select `id` from `route_names` where (`name` = 'purchase-bill.update') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'register'), 0.24
select `id` from `route_names` where (`name` = 'register') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'reports.inventory'), 0.33
select `id` from `route_names` where (`name` = 'reports.inventory') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'reports.itemStock'), 0.23
select `id` from `route_names` where (`name` = 'reports.itemStock') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'reports.joborder'), 0.24
select `id` from `route_names` where (`name` = 'reports.joborder') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'reports.joborderreceive'), 0.22
select `id` from `route_names` where (`name` = 'reports.joborderreceive') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'reports.ledger'), 0.24
select `id` from `route_names` where (`name` = 'reports.ledger') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'role.activate'), 0.21
select `id` from `route_names` where (`name` = 'role.activate') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'role.create'), 0.23
select `id` from `route_names` where (`name` = 'role.create') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'role.de_activate'), 0.24
select `id` from `route_names` where (`name` = 'role.de_activate') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'role.destroy'), 0.22
select `id` from `route_names` where (`name` = 'role.destroy') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'role.edit'), 0.23
select `id` from `route_names` where (`name` = 'role.edit') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'role.index'), 0.25
select `id` from `route_names` where (`name` = 'role.index') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'role.show'), 0.22
select `id` from `route_names` where (`name` = 'role.show') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'role.store'), 0.27
select `id` from `route_names` where (`name` = 'role.store') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'role.update'), 0.26
select `id` from `route_names` where (`name` = 'role.update') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'sanctum.csrf-cookie'), 0.25
select `id` from `route_names` where (`name` = 'sanctum.csrf-cookie') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'settings.general'), 0.23
select `id` from `route_names` where (`name` = 'settings.general') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.activate'), 0.24
select `id` from `route_names` where (`name` = 'staff-type.activate') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.ajax_get'), 0.23
select `id` from `route_names` where (`name` = 'staff-type.ajax_get') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.create'), 0.23
select `id` from `route_names` where (`name` = 'staff-type.create') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.de_activate'), 0.22
select `id` from `route_names` where (`name` = 'staff-type.de_activate') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.destroy'), 0.24
select `id` from `route_names` where (`name` = 'staff-type.destroy') limit 1, 0.27
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.edit'), 0.24
select `id` from `route_names` where (`name` = 'staff-type.edit') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.index'), 0.23
select `id` from `route_names` where (`name` = 'staff-type.index') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.show'), 0.24
select `id` from `route_names` where (`name` = 'staff-type.show') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.store'), 0.23
select `id` from `route_names` where (`name` = 'staff-type.store') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.update'), 0.24
select `id` from `route_names` where (`name` = 'staff-type.update') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'state.create'), 0.23
select `id` from `route_names` where (`name` = 'state.create') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'state.destroy'), 0.22
select `id` from `route_names` where (`name` = 'state.destroy') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'state.edit'), 0.21
select `id` from `route_names` where (`name` = 'state.edit') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'state.index'), 0.22
select `id` from `route_names` where (`name` = 'state.index') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'state.show'), 0.26
select `id` from `route_names` where (`name` = 'state.show') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'state.store'), 0.23
select `id` from `route_names` where (`name` = 'state.store') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'state.update'), 0.24
select `id` from `route_names` where (`name` = 'state.update') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'storage.local'), 0.24
select `id` from `route_names` where (`name` = 'storage.local') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'user.activate'), 0.24
select `id` from `route_names` where (`name` = 'user.activate') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'user.change.password'), 0.25
select `id` from `route_names` where (`name` = 'user.change.password') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'user.create'), 0.22
select `id` from `route_names` where (`name` = 'user.create') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'user.de_activate'), 0.22
select `id` from `route_names` where (`name` = 'user.de_activate') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'user.destroy'), 0.23
select `id` from `route_names` where (`name` = 'user.destroy') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'user.edit'), 0.23
select `id` from `route_names` where (`name` = 'user.edit') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'user.index'), 0.25
select `id` from `route_names` where (`name` = 'user.index') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'user.my.profile'), 0.23
select `id` from `route_names` where (`name` = 'user.my.profile') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'user.store'), 0.22
select `id` from `route_names` where (`name` = 'user.store') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'user.update'), 0.25
select `id` from `route_names` where (`name` = 'user.update') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'verify.otp'), 0.23
